,neighborhood_overview,review_scores_location
20291,The   is near to Kilburn High Road  a bustling and lively shopping   with lots of pubs  cafes  restaurants and a wide variety of shops  The Tricycle Theatre and Cinema is a just around the corner  There are two parks   by _ in one direction Queen's Park and the Jubilee Gardens off Kilburn High Road in the other  Nature lovers wishing to get lost in London can get to Hampstead Heath in 10   on the Overground ,5
20305,Familial and trendy,5
20309,Near to Shoreditch and Dalston  Hoxton Market  and a short stroll to Broadway Market  This is a fantastic part of town  It would suit somebody exploring London - especially East London  or somebody in London for work or study short term over the summer ,5
20313,15     to reach Upper Street  a sophisticated and trendy part of Angel  Upper street consists of boutiques  trendy shops  cafes  restaurants  bars  cinema etc for a pleasant stroll    Large supermarkets  Waitrose  Morrisons  M S  are also a mere 15     ,5
20316,The surrounding living facilities are complete  Just two stops from the shopping district of Bond Street ,5
20321,It is a very tranquil spot  only a cycle lane separating us from the Hackney City Farm / Haggerston Park _ The   is   pretty much equidistant between Columbia Road where the flower market is held every Sunday and Broadway Market      to  coffee  good gym  London Fields etc _,5
20330,Situated on a quiet  tree lined  residential street in the heart of East London  just off the hustle and bustle of the bars  restaurants and markets on the main high street  our   is the perfect location to experience real London    There are endless things to see and do in the local     Whitechapel  home of the famous Jack the Ripper  Brick Lane  London's most popular curry street and the ever trendy  Shoreditch  Hackney and Dalston  s are also       where you will have your pick of bars and restaurants   The centuries old Spitalfield's Market is also   by and open 7 days a week     East London is known for its fabulous street art  you will find some round every corner  A street art   tour really is a must     There are also lots of spaces to relax and unwind if you're going for a more laidback break   Weavers Fields park is right behind our building and Museum Park is just across the road  the gorgeous Victoria Park is als,5
20333,East London is unique  Although   to the city centre  the   has a personality of its own and   worth exploring    by there numerous local restaurants  cafes  markets  boutiques and events  We are on the cusp of Roman Road Market  the oldest clothing market in London  see  URL HIDDEN   A short     through Victoria Park you'll find a pretty local village called Lauriston Village with several restaurants and cafes  perfect for chilling and it's on the way to Broadway Market  see  URL HIDDEN   We are   to   canals too and you could cycle up to Kings Cross  Islington or Camden Lock if you're feeling energetic  I really recommend exploring the canals by bike   Stratford's Westfield Shopping centre  next to the Olympic Park  is round the corner to cater for your every shopping need  Or hop onto the DLR to Canary Wharf  it's   to London City Airport so makes a good stop off on the way   If you prefer more independent shops  head towards Shoreditch - My ,5
20335,The   is located in a quiet residential   ,5
20355,Clapham junction station  Clapham Common  wandsworth  Chelsea and Fulham   Stores  shopping centre  bars and restaurant ,5
20384,Victoria is a safe and clean   frequented by locals and tourists alike ,5
20402,Its located in a lovely quiet street but still very   to Camden tube station  mornington tube station and Kings Cross Station  Camden road is an overground station  which is a 5        with easy access to Stratford and Canary wharf  A further 5     from here will get you to Camden Town station and Camden high street  There are also   bus stops   by to get to euston  kings cross and central  The 274 bus stop is right across the street from the     Its a lovely    spacious and clean ,5
20434,Soho is where Londoners meet * It's a highly sociable place as   as being a media hub full of TV Film Advertising * The former sleazy part of town has always been central to socialising  dining and theatre * Culture  art  museums are all     business * Oxford Street  Europes longest shopping street  is at one end of this street * Leicester Square and China Town at the other end * Guests have never been disappointed with this location as it's impossible to be disappointed * If you want an exclusive part of London  this is it   There're the least residential residencies vs commercial properties in London * Living in Soho always surprises Londoners who aren't familiar with the small domestic community here *   home from theatres without the customary post-show trudge home  In Soho you're already home ,5
20435,Stoke Newington is a beautiful  in London -   connected to central London but also providing some much needed respite from the bustle of the city  With its hundreds of wonderful pubs  boutique cafes  fantastic parks and and independent designer shops  it's a London gem   Church Street has become the main   for independent shops  bars  various eateries and a farmers' market every Sunday   Clissold Park is one of Hackney's loved traditional parks  recognised as one of the best green spaces in the country  When the suns shinning its a  spot to enjoy a picnic or to take a    With fountains  ponds  green  s  animal enclosures and cafe's there plenty for all the family to enjoy   Neighboured by the up-market   of Islington  Islington offers a parade of boutiques  bars and restaurants to enjoy  If you're a bit of a foodie visit Upper Street where you can find food from all over the world  With 3 theatre's you can catch some of the,5
